TriggerName,FiringCount
HLT_Trimuon5_3p5_2_Upsilon_Muon_v9,79
HLT_Mu15_IsoVVVL_PFHT450_PFMET50_v19,78
HLT_PFMETNoMu110_PFMHTNoMu110_IDTight_FilterHF_v4,76
HLT_PFHT280_QuadPFJet35_PNet2BTagMean0p60_v1,74
HLT_Mu3er1p5_PFJet100er2p5_PFMET100_PFMHT100_IDTight_v6,69
HLT_Mu50_IsoVVVL_PFHT450_v19,69
HLT_IsoMu24_eta2p1_MediumDeepTauPFTauHPS20_eta2p1_SingleL1_v4,67
HLT_Mu19_TrkIsoVVL_Mu9_TrkIsoVVL_v7,66
HLT_PFMETNoMu120_PFMHTNoMu120_IDTight_PFHT60_v13,60
HLT_Mu19_TrkIsoVVL_Mu9_TrkIsoVVL_DZ_v7,60
HLT_PFMETNoMu120_PFMHTNoMu120_IDTight_FilterHF_v4,60
HLT_PFMETNoMu120_PFMHTNoMu120_IDTight_v24,60
HLT_DoubleL2Mu50_v5,58
HLT_Mu17_v17,58
HLT_L1MET_DTClusterNoMB1S50_v5,56
HLT_Mu15_IsoVVVL_PFHT600_v23,55
HLT_BTagMu_AK4Jet300_Mu5_v16,53
HLT_Mu12_DoublePFJets40MaxDeta1p6_DoublePFBTagDeepJet_p71_v5,50
HLT_CaloMET60_DTClusterNoMB1S50_v5,50
HLT_DiJet110_35_Mjj650_PFMET110_v13,49
HLT_AK8PFJet420_MassSD30_v4,48
HLT_PFHT340_QuadPFJet70_50_40_40_PNet2BTagMean0p70_v2,46
HLT_Mu12_DoublePFJets54MaxDeta1p6_DoublePFBTagDeepJet_p71_v5,46
HLT_DoubleMu4_3_Photon4_BsToMMG_v4,44
HLT_L3dTksMu10_NoVtx_DxyMin0p01cm_v4,43
HLT_VBF_DiPFJet90_40_Mjj600_Detajj2p5_Mu3_TrkIsoVVL_v2,43
HLT_DoubleMu4_3_Bs_v19,43
HLT_Mu15_v7,43
HLT_Mu3_L1SingleMu5orSingleMu7_v5,43
HLT_PFMETNoMu130_PFMHTNoMu130_IDTight_v23,42
HLT_PFMETNoMu130_PFMHTNoMu130_IDTight_FilterHF_v4,42
HLT_VBF_DiPFJet70_40_Mjj600_Detajj2p5_DiPFJet60_JetMatchingQuadJet_v2,41
HLT_CascadeMu100_v7,41
HLT_Mu25_TkMu0_Phi_v12,40
HLT_PFHT700_PFMET85_PFMHT85_IDTight_v16,39
HLT_DiMu9_Ele9_CaloIdL_TrackIdL_v21,38
HLT_Mu17_TrkIsoVVL_v17,37
HLT_DiJet110_35_Mjj650_PFMET120_v13,37
HLT_AK8PFJet500_v20,37
HLT_AK8PFJet425_SoftDropMass40_v5,37
HLT_VBF_DiPFJet95_45_Mjj600_Detajj2p5_Mu3_TrkIsoVVL_v1,37
HLT_DiMu9_Ele9_CaloIdL_TrackIdL_DZ_v21,37
HLT_Mu8_v16,36
HLT_VBF_DiPFJet75_45_Mjj600_Detajj2p5_DiPFJet60_JetMatchingQuadJet_v1,36
HLT_Mu19_v8,36
HLT_DoubleMu4_Jpsi_Displaced_v11,35
HLT_PFHT400_FivePFJet_100_100_60_30_30_DoublePFBTagDeepJet_4p5_v5,35
HLT_TrimuonOpen_5_3p5_2_Upsilon_Muon_v7,35
HLT_DoubleMu3_DZ_PFMET90_PFMHT90_v14,35
HLT_VBF_DiPFJet75_40_Mjj500_Detajj2p5_PFMET85_v2,34
HLT_AK8PFJet470_MassSD30_v4,34
HLT_AK8PFJet450_MassSD30_v4,34
HLT_AK8PFJet230_SoftDropMass40_PNetBB0p06_v1,33
HLT_PFHT1050_v22,33
HLT_PFHT500_PFMET100_PFMHT100_IDTight_v16,33
HLT_AK8PFJet250_SoftDropMass40_PNetBB0p06_v1,32
HLT_VBF_DiPFJet105_40_Mjj1000_Detajj3p5_v2,31
HLT_PFMETNoMu140_PFMHTNoMu140_IDTight_v23,31
HLT_PFMETNoMu140_PFMHTNoMu140_IDTight_FilterHF_v4,31
HLT_Mu20NoFiltersNoVtxDisplaced_Photon20_CaloCustomId_v5,31
HLT_PFHT400_FivePFJet_120_120_60_30_30_DoublePFBTagDeepJet_4p5_v5,31
HLT_BTagMu_AK8Jet300_Mu5_v16,31
HLT_CaloJet500_NoJetID_v16,31
HLT_PFJet500_v25,30
HLT_DiJet110_35_Mjj650_PFMET130_v13,30
Dataset_ParkingVBF5,29
HLT_AK8PFJet220_SoftDropMass40_PNetBB0p06_DoubleAK4PFJet60_30_PNet2BTagMean0p50_v1,29
HLT_AK8PFJet500_MassSD30_v4,29
HLT_VBF_DiPFJet80_45_Mjj500_Detajj2p5_PFMET85_v1,29
HLT_PFHT800_PFMET75_PFMHT75_IDTight_v16,29
HLT_IsoMu20_eta2p1_LooseDeepTauPFTauHPS27_eta2p1_CrossL1_v5,28
HLT_VBF_DiPFJet110_40_Mjj1000_Detajj3p5_v1,28
HLT_AK8DiPFJet270_270_MassSD30_v4,28
HLT_Mu8_TrkIsoVVL_v16,27
HLT_PFHT400_SixPFJet32_PNet2BTagMean0p50_v1,26
Dataset_ParkingVBF1,26
HLT_AK8DiPFJet280_280_MassSD30_v4,25
HLT_DoubleMu43NoFiltersNoVtx_v8,25
HLT_AK8PFJet450_SoftDropMass40_v5,24
HLT_AK8PFJet550_v15,24
HLT_Mu17_Photon30_IsoCaloId_v10,24
Dataset_ScoutingPFMonitor,24
HLT_DoubleMu4_Jpsi_NoVertexing_v11,24
HLT_VBF_DiPFJet125_45_Mjj1000_Detajj3p5_v1,24
HLT_PFHT450_SixPFJet36_PNetBTag0p35_v1,24
HLT_IsoMu27_MediumDeepTauPFTauHPS20_eta2p1_SingleL1_v4,24
HLT_DiMu4_Ele9_CaloIdL_TrackIdL_DZ_Mass3p8_v21,23
Dataset_ParkingVBF2,23
HLT_DoubleMu3_TkMu_DsTau3Mu_v8,23
HLT_BTagMu_AK4DiJet170_Mu5_v16,23
HLT_Mu6HT240_DisplacedDijet30_Inclusive1PtrkShortSig5_DisplacedLoose_v5,22
HLT_AK8PFJet275_SoftDropMass40_PNetBB0p06_v1,22
HLT_Mu19_TrkIsoVVL_v8,22
HLT_AK8PFJet230_SoftDropMass40_PNetBB0p10_v1,22
HLT_DoubleMu48NoFiltersNoVtx_v8,21
Dataset_ParkingVBF7,21
HLT_DoubleIsoMu20_eta2p1_v11,21
HLT_AK8PFJet250_SoftDropMass40_PNetBB0p10_v1,21
HLT_PFMET120_PFMHT120_IDTight_PFHT60_v13,21
HLT_PFMET120_PFMHT120_IDTight_v24,21
HLT_Dimuon0_LowMass_L1_4_v12,20
HLT_Mu8_Ele8_CaloIdM_TrackIdM_Mass8_PFHT350_DZ_v23,20
HLT_Dimuon0_Jpsi_L1_4R_0er1p5R_v11,20
HLT_Dimuon0_Jpsi_NoVertexing_L1_4R_0er1p5R_v11,20
HLT_QuadPFJet103_88_75_15_DoublePFBTagDeepJet_1p3_7p7_VBF1_v5,20
HLT_PFHT500_PFMET110_PFMHT110_IDTight_v16,20
HLT_Mu6HT240_DisplacedDijet35_Inclusive0PtrkShortSig5_v5,19
HLT_AK8PFJet220_SoftDropMass40_PNetBB0p06_DoubleAK4PFJet60_30_PNet2BTagMean0p53_v1,19
Dataset_ParkingVBF0,19
HLT_QuadPFJet105_88_76_15_DoublePFBTagDeepJet_1p3_7p7_VBF1_v5,19
AlCa_EcalEtaEEonly_v18,19
HLT_CaloJet550_NoJetID_v11,18
HLT_QuadPFJet111_90_80_15_DoublePFBTagDeepJet_1p3_7p7_VBF1_v5,18
HLT_PFJet550_v15,18
HLT_Dimuon10_Upsilon_y1p4_v5,18
Dataset_ParkingVBF6,18
HLT_DoubleMu4_3_Displaced_Photon4_BsToMMG_v4,18
HLT_Mu4_TrkIsoVVL_DiPFJet90_40_DEta3p5_MJJ750_HTT300_PFMETNoMu60_v20,17
HLT_PFMET130_PFMHT130_IDTight_v24,17
Dataset_ParkingVBF3,17
HLT_AK8DiPFJet290_290_MassSD30_v4,16
HLT_Mu8_TrkIsoVVL_DiPFJet40_DEta3p5_MJJ750_HTT300_PFMETNoMu60_v21,16
HLT_Mu6HT240_DisplacedDijet40_Inclusive0PtrkShortSig5_v5,16
HLT_AK8DiPFJet250_250_MassSD50_v4,16
HLT_Dimuon12_Upsilon_y1p4_v6,16
HLT_HighPtTkMu100_v6,16
HLT_AK8DiPFJet260_260_MassSD50_v4,15
Dataset_ParkingLLP,15
HLT_AK8PFJet220_SoftDropMass40_PNetBB0p06_DoubleAK4PFJet60_30_PNet2BTagMean0p55_v1,15
HLT_AK8PFJet220_SoftDropMass40_PNetBB0p06_DoubleAK4PFJet60_30_PNet2BTagMean0p60_v1,15
HLT_PFMETTypeOne140_PFMHT140_IDTight_v15,15
HLT_Dimuon0_LowMass_L1_0er1p5_v12,15
Dataset_HLTMonitor,15
HLT_AK8PFJet275_SoftDropMass40_PNetBB0p10_v1,15
HLT_PFMET140_PFMHT140_IDTight_v24,14
HLT_PFHT330PT30_QuadPFJet_75_60_45_40_TriplePFBTagDeepJet_4p5_v5,14
HLT_DoublePFJets116MaxDeta1p6_DoublePFBTagDeepJet_p71_v5,14
HLT_Mu6HT240_DisplacedDijet35_Inclusive1PtrkShortSig5_DisplacedLoose_v5,14
HLT_Dimuon14_Phi_Barrel_Seagulls_v11,14
HLT_Mu6HT240_DisplacedDijet40_Inclusive1PtrkShortSig5_DisplacedLoose_v5,14
HLT_BTagMu_AK4DiJet110_Mu5_v17,14
Dataset_ParkingVBF4,13
HLT_PFMETTypeOne200_BeamHaloCleaned_v13,13
HLT_Mu6HT240_DisplacedDijet45_Inclusive0PtrkShortSig5_v5,13
HLT_Mu23_TrkIsoVVL_Ele12_CaloIdL_TrackIdL_IsoVL_v11,13
HLT_Mu27_Ele37_CaloIdL_MW_v9,12
HLT_DoublePFJets128MaxDeta1p6_DoublePFBTagDeepJet_p71_v5,12
HLT_BTagMu_AK8DiJet170_Mu5_v13,12
HLT_Mu10_TrkIsoVVL_DiPFJet40_DEta3p5_MJJ750_HTT350_PFMETNoMu60_v20,12
HLT_IsoMu24_eta2p1_MediumDeepTauPFTauHPS30_L2NN_eta2p1_CrossL1_v4,11
HLT_PFMET200_BeamHaloCleaned_v13,11
HLT_Mu6HT240_DisplacedDijet50_Inclusive0PtrkShortSig5_v5,11
HLT_HT430_DisplacedDijet40_Inclusive1PtrkShortSig5_v5,10
HLT_Mu38NoFiltersNoVtxDisplaced_Photon38_CaloIdL_v5,10
HLT_HT390eta2p0_DisplacedDijet40_Inclusive1PtrkShortSig5_v1,10
HLT_Mu43NoFiltersNoVtx_Photon43_CaloIdL_v9,10
HLT_HT390_DisplacedDijet45_Inclusive1PtrkShortSig5_v1,10
Dataset_EventDisplay,10
Dataset_EGamma1,9
Dataset_EGamma0,9
HLT_Dimuon24_Phi_noCorrL1_v10,8
HLT_Photon200_v18,8
HLT_IsoMu24_eta2p1_MediumDeepTauPFTauHPS35_L2NN_eta2p1_CrossL1_v5,8
HLT_CscCluster_Loose_v4,8
HLT_Mu27_v17,8
HLT_IsoMu24_eta2p1_MediumDeepTauPFTauHPS30_L2NN_eta2p1_PFJet60_CrossL1_v4,7
HLT_IsoMu20_v19,7
HLT_QuadPFJet103_88_75_15_PFBTagDeepJet_1p3_VBF2_v5,7
HLT_Dimuon24_Upsilon_noCorrL1_v10,7
HLT_Dimuon0_LowMass_L1_TM530_v10,7
HLT_QuadPFJet105_88_76_15_PFBTagDeepJet_1p3_VBF2_v5,7
HLT_Mu23_TrkIsoVVL_Ele12_CaloIdL_TrackIdL_IsoVL_DZ_v19,7
HLT_Mu43NoFiltersNoVtxDisplaced_Photon43_CaloIdL_v5,7
HLT_Mu48NoFiltersNoVtx_Photon48_CaloIdL_v9,7
HLT_Mu37_Ele27_CaloIdL_MW_v9,7
HLT_Mu20_v16,7
HLT_Mu30_TkMu0_Upsilon_v5,6
HLT_IsoMu24_eta2p1_MediumDeepTauPFTauHPS30_L2NN_eta2p1_PFJet75_CrossL1_v4,6
HLT_VBF_DiPFJet50_Mjj500_Detajj2p5_Photon22_v1,6
HLT_Mu50_L1SingleMuShower_v3,6
HLT_BTagMu_AK4DiJet70_Mu5_v17,6
HLT_Photon300_NoHE_v17,6
HLT_Mu8_Ele8_CaloIdM_TrackIdM_Mass8_PFHT350_v23,6
HLT_Mu8_TrkIsoVVL_Ele23_CaloIdL_TrackIdL_IsoVL_DZ_v17,6
HLT_VBF_DiPFJet45_Mjj500_Detajj2p5_Photon17_v1,6
HLT_Dimuon0_Jpsi_NoVertexing_NoOS_v11,5
HLT_BTagMu_AK4DiJet40_Mu5_v17,5
HLT_Dimuon0_Jpsi_L1_NoOS_v11,5
HLT_PFHT400_FivePFJet_100_100_60_30_30_v12,5
HLT_Mu8_TrkIsoVVL_Ele23_CaloIdL_TrackIdL_IsoVL_DZ_PFDiJet30_v5,5
HLT_Mu8_TrkIsoVVL_Ele23_CaloIdL_TrackIdL_IsoVL_DZ_DoubleAK4PFJet60_30_v2,5
HLT_PFJet450_v25,5
HLT_Mu3_PFJet40_v20,5
Dataset_Tau,5
HLT_PFMET250_NotCleaned_v13,5
HLT_AK8PFJet450_v20,5
HLT_QuadPFJet111_90_80_15_PFBTagDeepJet_1p3_VBF2_v5,5
HLT_CscCluster_Tight_v4,5
HLT_CscCluster_Medium_v4,5
HLT_QuadPFJet100_88_70_30_PNet1CvsAll0p5_VBF3Tight_v2,4
HLT_Mu12_DoublePFJets100_PFBTagDeepJet_p71_v5,4
HLT_Mu8_TrkIsoVVL_Ele23_CaloIdL_TrackIdL_IsoVL_DZ_CaloDiJet30_v5,4
HLT_QuadPFJet105_88_75_30_PNet1CvsAll0p5_VBF3Tight_v2,4
HLT_PFMET200_NotCleaned_v13,4
HLT_Mu8_TrkIsoVVL_Ele23_CaloIdL_TrackIdL_IsoVL_DZ_PFDiJet30_PFBtagDeepJet_1p5_v5,4
HLT_HcalPhiSym_v18,4
HLT_Tau3Mu_Mu7_Mu1_TkMu1_IsoTau15_v8,4
HLT_Tau3Mu_Mu7_Mu1_TkMu1_IsoTau15_Charge1_v8,4
HLT_AK8PFJet230_SoftDropMass40_PNetTauTau0p03_v1,4
HLT_Mu4_L1DoubleMu_v5,4
HLT_AK8PFJet250_SoftDropMass40_PNetTauTau0p03_v1,4
HLT_Dimuon0_Jpsi_NoVertexing_v12,4
HLT_AK8PFJet275_SoftDropMass40_PNetTauTau0p03_v1,4
HLT_Mu12_DoublePFJets200_PFBTagDeepJet_p71_v5,4
